Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_0402_1005Metric,7.925039,11.010627,90.0,bottom
C10,22uF,C_0402_1005Metric,8.611307,4.204493,90.0,bottom
C11,22uF,C_0402_1005Metric,9.525707,4.204493,90.0,bottom
C12,0.1uF,C_0402_1005Metric,11.880987,1.838093,-90.0,top
C13,0.1uF,C_0402_1005Metric,9.982907,6.541293,0.0,bottom
C14,10uF,C_0402_1005Metric,9.982907,5.626893,0.0,bottom
C15,0.1uF,C_0402_1005Metric,12.776907,7.515693,180.0,top
C16,4.7uF,C_0402_1005Metric,12.776907,6.592093,180.0,top
C17,0.1uF,C_0402_1005Metric,9.982907,1.838093,-90.0,top
C18,4.7uF,C_0402_1005Metric,9.982907,1.838093,270.0,bottom
C19,10uF,C_0402_1005Metric,-8.035751,14.259878,-90.0,top
C20,430pF,C_0402_1005Metric,-4.118193,15.670311,0.0,top
C21,22uF,C_0402_1005Metric,-8.035751,12.436576,90.0,top
C22,0.1uF,C_0402_1005Metric,8.865307,11.010627,-90.0,top
C23,0.1uF,C_0402_1005Metric,6.985707,11.010627,-90.0,top
C24,0.1uF,C_0402_1005Metric,7.036507,1.878093,90.0,top
C3,0.1uF,C_0402_1005Metric,5.766507,1.878093,-90.0,top
C4,0.1uF,C_0402_1005Metric,8.458907,1.858093,270.0,bottom
C5,0.1uF,C_0402_1005Metric,8.865307,11.010627,90.0,bottom
C6,0.1uF,C_0402_1005Metric,6.985707,11.010627,90.0,bottom
C7,0.1uF,C_0402_1005Metric,3.836107,4.427693,-90.0,top
C8,0.1uF,C_0402_1005Metric,6.782507,4.204493,90.0,bottom
C9,1uF,C_0402_1005Metric,7.696907,4.204493,90.0,bottom
D1,SR05,SOT-143,-3.783893,5.525293,90.0,bottom
D2,SRV05-4_TCT,SOT-23-6,4.014907,9.944893,180.0,bottom
D3,SRV05-4_TCT,SOT-23-6,11.913307,10.351293,180.0,bottom
D4,LED,LED_0603_1608Metric,-0.862993,4.624493,0.0,top
D5,LED,LED_0603_1608Metric,-0.862993,3.036093,0.0,top
F1,200mA,Fuse_0603_1608Metric,-9.930693,13.399293,90.0,top
J1,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,-8.642,5.264,-90.0,top
J2,302-S101,2x5P 2.54mm 夹贴,5.843,14.75,0.0,top
L1,120Ω@100MHZ,L_0402_1005Metric,7.925039,11.010627,-90.0,top
L2,4.7uH,L_Wuerth_MAPI-2510,12.388582,5.271203,270.0,bottom
R1,10kΩ,R_0402_1005Metric,10.948107,1.838093,-90.0,top
R10,33Ω,R_0402_1005Metric,10.928667,1.838093,90.0,bottom
R11,33Ω,R_0402_1005Metric,11.893867,1.838093,90.0,bottom
R2,309kΩ,R_0402_1005Metric,-3.678193,12.433293,-90.0,top
R3,100kΩ,R_0402_1005Metric,-3.678193,14.213293,-90.0,top
R4,100kΩ,R_0402_1005Metric,8.458907,1.838093,90.0,top
R5,10kΩ,R_0402_1005Metric,-3.682293,10.554493,-90.0,top
R6,5.1k,R_0402_1005Metric,-3.834693,7.760493,0.0,top
R7,5.1k,R_0402_1005Metric,-3.834693,3.514,0.0,top
R8,1kΩ,R_0402_1005Metric,2.058107,2.782093,0.0,top
R9,1kΩ,R_0402_1005Metric,1.600907,4.427693,-90.0,top
RN1,22,R_Array_Concave_4x0402,1.905707,9.081293,90.0,top
RN2,22,R_Array_Concave_4x0402,11.913307,11.105293,90.0,top
SW1,SW_Push,SW_Push_SPST_NO_Alps_SKRK,-1.091493,8.166893,-90.0,top
U1,HPM5301IEGx,QFN-48_6x6mm_P0.4mm_EP4.2x4.2mm,7.973307,6.468093,90.0,top
U2,TPS82130,Texas_SIL0008D_MicroSiP-8-1EP_2.8x3mm_P0.65mm_EP1.1x1.9mm,-5.866693,13.399293,0.0,top
X1,24MHz,CSTCE3213,4.344107,11.141693,180.0,top
